,Longitude,Latitude,Date,Survey_Type
98121,77_4.32 W,38_56.02 N,22-Feb-10,otehr
79709,77_3.63 W,38_56.3 N,22-Feb-10,otehr
206244,77_3.85 W,38_54.36 N,22-Feb-10,otehr
17049,77_0.06 W,38_57.27 N,22-Feb-10,otehr
64120,77_3.13 W,38_56.54 N,22-Feb-10,otehr
61791,77_2.75 W,38_56.58 N,22-Feb-10,otehr
11397,77_4.15 W,38_57.35 N,22-Feb-10,otehr
74148,77_2.44 W,38_56.39 N,22-Feb-10,otehr
188842,77_2.57 W,38_54.63 N,22-Feb-10,otehr
7268,77_2.87 W,38_57.42 N,22-Feb-10,otehr
90653,77_3.24 W,38_56.14 N,22-Feb-10,otehr
145952,77_0.29 W,38_55.29 N,22-Feb-10,otehr
72630,77_3.34 W,38_56.41 N,22-Feb-10,otehr
39497,77_2.9 W,38_56.92 N,22-Feb-10,otehr
126352,77_1.84 W,38_55.59 N,22-Feb-10,otehr
73425,77_0.34 W,38_56.41 N,22-Feb-10,otehr
203899,77_3.61 W,38_54.4 N,22-Feb-10,otehr
167743,77_0.41 W,38_54.96 N,22-Feb-10,otehr
215822,77_2.93 W,38_54.22 N,22-Feb-10,otehr
108504,77_0.31 W,38_55.87 N,22-Feb-10,otehr
188918,77_1.86 W,38_54.63 N,22-Feb-10,otehr
116791,77_1.52 W,38_57.35 N,22-Feb-10,otehr
9105,77_3.42 W,38_57.39 N,22-Feb-10,otehr
95564,77_1.64 W,38_56.06 N,22-Feb-10,otehr
182514,77_4.13 W,38_54.72 N,22-Feb-10,otehr
56419,77_4.23 W,38_56.66 N,22-Feb-10,otehr
1806,77_0.75 W,38_56.9 N,28-Feb-10,transect
9073,77_1.48 W,38_54.93 N,01-Mar-10,transect
2191,77_0.75 W,38_56.8 N,01-Mar-10,transect
9678,77_1.84 W,38_54.8 N,05-Mar-10,transect
97718,77_3.66 W,38_56.03 N,07-Mar-10,otehr
106019,77_1.39 W,38_55.9 N,07-Mar-10,otehr
208788,77_2.22 W,38_54.32 N,07-Mar-10,otehr
18814,77_1.28 W,38_57.24 N,07-Mar-10,otehr
18409,77_0.64 W,38_57.25 N,07-Mar-10,otehr
209941,77_0.3 W,38_54.31 N,07-Mar-10,otehr
161812,77_2.69 W,38_55.04 N,07-Mar-10,otehr
193206,77_1.66 W,38_54.56 N,07-Mar-10,otehr
143784,77_2.84 W,38_55.32 N,07-Mar-10,otehr
28761,77_1.35 W,38_57.09 N,07-Mar-10,otehr
70148,76_59.96 W,38_56.46 N,07-Mar-10,otehr
107610,77_4.24 W,38_55.87 N,07-Mar-10,otehr
121140,77_1.83 W,38_55.67 N,07-Mar-10,otehr
117572,77_4.16 W,38_55.72 N,07-Mar-10,otehr
35865,77_1.4 W,38_56.98 N,07-Mar-10,otehr
120858,77_0.03 W,38_55.68 N,07-Mar-10,otehr
128924,76_59.96 W,38_55.55 N,07-Mar-10,otehr
161799,77_2.81 W,38_55.04 N,07-Mar-10,otehr
166157,77_1.95 W,38_54.98 N,07-Mar-10,otehr
118097,77_3.69 W,38_55.71 N,07-Mar-10,otehr
87160,77_0.44 W,38_56.19 N,07-Mar-10,otehr
147964,77_3.64 W,38_55.26 N,07-Mar-10,otehr
62909,77_1.16 W,38_56.57 N,07-Mar-10,otehr
156921,77_4.1 W,38_55.12 N,07-Mar-10,otehr
143235,77_3.54 W,38_55.33 N,07-Mar-10,otehr
16251,77_3.09 W,38_57.28 N,07-Mar-10,otehr
86762,77_4.16 W,38_56.19 N,07-Mar-10,otehr
70589,77_0.26 W,38_56.45 N,07-Mar-10,otehr
1885,77_0.02 W,38_57.5 N,07-Mar-10,otehr
148137,77_2.02 W,38_55.26 N,07-Mar-10,otehr
162108,76_59.92 W,38_55.04 N,07-Mar-10,otehr
17703,77_2.81 W,38_57.26 N,07-Mar-10,otehr
145648,77_3.13 W,38_55.29 N,07-Mar-10,otehr
86681,77_3.08 W,38_57.39 N,07-Mar-10,otehr
53855,77_1.61 W,38_56.7 N,07-Mar-10,otehr
88995,77_1.01 W,38_56.16 N,07-Mar-10,otehr
156545,77_3.18 W,38_55.12 N,07-Mar-10,otehr
113559,77_1.8 W,38_55.79 N,07-Mar-10,otehr
53002,77_0.72 W,38_56.72 N,07-Mar-10,otehr
6241,77_3.61 W,38_57.43 N,07-Mar-10,otehr
96121,77_0.86 W,38_56.06 N,07-Mar-10,otehr
15814,77_2.74 W,38_57.28 N,07-Mar-10,otehr
37825,77_0.81 W,38_56.95 N,07-Mar-10,otehr
61713,77_3.48 W,38_56.58 N,07-Mar-10,otehr
190110,77_4.01 W,38_54.61 N,07-Mar-10,otehr
175926,77_3.68 W,38_54.83 N,07-Mar-10,otehr
140709,77_0.56 W,38_55.37 N,07-Mar-10,otehr
127839,77_1.24 W,38_55.57 N,07-Mar-10,otehr
47627,77_2.23 W,38_56.8 N,07-Mar-10,otehr
192193,77_2.27 W,38_54.58 N,07-Mar-10,otehr
16902,77_1.84 W,38_57.5 N,07-Mar-10,otehr
164088,77_3.56 W,38_55.01 N,07-Mar-10,otehr
10148,77_1.6 W,38_54.65 N,07-Mar-10,transect
174183,77_2.25 W,38_54.86 N,07-Mar-10,otehr
83533,77_3.33 W,38_56.25 N,07-Mar-10,otehr
72027,77_0.11 W,38_56.43 N,07-Mar-10,otehr
147618,77_2.44 W,38_55.26 N,07-Mar-10,otehr
161980,77_1.11 W,38_55.04 N,07-Mar-10,otehr
120232,77_1.45 W,38_55.68 N,07-Mar-10,otehr
118402,77_0.83 W,38_55.71 N,07-Mar-10,otehr
21315,77_0.06 W,38_57.2 N,07-Mar-10,otehr
129986,77_3.32 W,38_55.53 N,07-Mar-10,otehr
116277,77_2.98 W,38_55.74 N,07-Mar-10,otehr
198824,77_2.31 W,38_54.48 N,07-Mar-10,otehr
111649,77_1.93 W,38_55.82 N,07-Mar-10,otehr
217147,77_3.84 W,38_54.19 N,07-Mar-10,otehr
91154,77_2.99 W,38_56.13 N,07-Mar-10,otehr
185628,77_1.6 W,38_54.68 N,07-Mar-10,otehr
45679,77_2.71 W,38_56.83 N,07-Mar-10,otehr
106237,77_3.78 W,38_55.9 N,07-Mar-10,otehr
213705,77_0.56 W,38_54.25 N,07-Mar-10,otehr
200222,77_2.54 W,38_54.46 N,07-Mar-10,otehr
28199,77_2.17 W,38_57.1 N,07-Mar-10,otehr
69366,77_2.84 W,38_56.46 N,07-Mar-10,otehr
55520,77_3.77 W,38_56.67 N,07-Mar-10,otehr
186864,77_3.34 W,38_54.66 N,07-Mar-10,otehr
77913,77_2.7 W,38_56.33 N,07-Mar-10,otehr
48058,77_2.63 W,38_56.79 N,07-Mar-10,otehr
115372,77_2.57 W,38_55.76 N,07-Mar-10,otehr
140623,77_1.37 W,38_55.37 N,07-Mar-10,otehr
153433,77_1.26 W,38_55.18 N,07-Mar-10,otehr
87593,77_0.83 W,38_56.19 N,07-Mar-10,otehr
123875,77_2.84 W,38_55.63 N,07-Mar-10,otehr
61860,77_2.11 W,38_56.58 N,07-Mar-10,otehr
16863,77_1.8 W,38_57.27 N,07-Mar-10,otehr
94497,77_2.75 W,38_56.08 N,07-Mar-10,otehr
199885,77_1.26 W,38_54.46 N,07-Mar-10,otehr
129449,77_3.91 W,38_55.54 N,07-Mar-10,otehr
213238,77_0.5 W,38_54.26 N,07-Mar-10,otehr
140324,77_4.16 W,38_55.37 N,07-Mar-10,otehr
38723,77_1.27 W,38_56.94 N,07-Mar-10,otehr
97229,77_3.8 W,38_56.03 N,07-Mar-10,otehr
55310,77_1.3 W,38_56.68 N,07-Mar-10,otehr
7790,77_1.34 W,38_55.28 N,11-Mar-10,transect
699,77_1.69 W,38_57.12 N,15-Mar-10,transect
9589,77_3.63 W,38_54.82 N,18-Mar-10,transect
7771,77_3.21 W,38_55.28 N,27-Mar-10,transect
10873,77_0.9 W,38_54.41 N,03-Apr-10,transect
2633,77_1.98 W,38_56.65 N,05-Apr-10,transect
116617,77_4.23 W,38_55.74 N,06-Apr-10,Other
86256,77_0.03 W,38_56.21 N,06-Apr-10,Other
204831,77_3.76 W,38_54.38 N,06-Apr-10,Other
97977,77_1.24 W,38_56.03 N,06-Apr-10,Other
3762,77_0.2 W,38_57.47 N,06-Apr-10,Other
189256,77_3.13 W,38_54.62 N,06-Apr-10,Other
116401,77_1.82 W,38_55.74 N,06-Apr-10,Other
188235,77_3.82 W,38_54.64 N,06-Apr-10,Other
136286,77_2.03 W,38_55.44 N,06-Apr-10,Other
141539,77_1.67 W,38_55.36 N,06-Apr-10,Other
183536,77_3.43 W,38_54.71 N,06-Apr-10,Other
152417,77_1.89 W,38_55.19 N,06-Apr-10,Other
35707,77_2.88 W,38_56.98 N,06-Apr-10,Other
52806,77_2.55 W,38_56.72 N,06-Apr-10,Other
68733,77_4.32 W,38_56.47 N,06-Apr-10,Other
206554,77_0.95 W,38_54.36 N,06-Apr-10,Other
182524,77_4.03 W,38_54.72 N,06-Apr-10,Other
127137,77_3.37 W,38_55.58 N,06-Apr-10,Other
110046,77_3.62 W,38_55.84 N,06-Apr-10,Other
194910,77_3.45 W,38_54.54 N,06-Apr-10,Other
200662,77_2.85 W,38_54.45 N,06-Apr-10,Other
206589,77_0.62 W,38_54.36 N,06-Apr-10,Other
2891,77_3.91 W,38_57.48 N,06-Apr-10,Other
174974,77_3.71 W,38_54.84 N,06-Apr-10,Other
216274,77_3.13 W,38_54.21 N,06-Apr-10,Other
60653,77_0.1 W,38_56.6 N,06-Apr-10,Other
111814,77_0.39 W,38_55.82 N,06-Apr-10,Other
23066,77_1.41 W,38_57.18 N,06-Apr-10,Other
30578,77_2.09 W,38_57.06 N,06-Apr-10,Other
183902,77_0.01 W,38_54.71 N,06-Apr-10,Other
127518,77_4.24 W,38_55.57 N,06-Apr-10,Other
55626,77_2.78 W,38_56.67 N,06-Apr-10,Other
10421,76_59.98 W,38_57.37 N,06-Apr-10,Other
144183,77_3.54 W,38_55.31 N,06-Apr-10,Other
161273,77_3.29 W,38_55.05 N,06-Apr-10,Other
167116,77_1.84 W,38_54.96 N,06-Apr-10,Other
91233,77_2.25 W,38_56.13 N,06-Apr-10,Other
98824,77_2.18 W,38_56.01 N,06-Apr-10,Other
117840,77_1.66 W,38_55.72 N,06-Apr-10,Other
187592,77_0.97 W,38_54.65 N,06-Apr-10,Other
30760,77_0.39 W,38_57.06 N,06-Apr-10,Other
195477,77_2.58 W,38_54.53 N,06-Apr-10,Other
95741,76_59.98 W,38_56.06 N,06-Apr-10,Other
147063,77_3.2 W,38_55.27 N,06-Apr-10,Other
12433,77_3.33 W,38_57.34 N,06-Apr-10,Other
168462,77_2.55 W,38_54.94 N,06-Apr-10,Other
97726,77_3.58 W,38_56.03 N,06-Apr-10,Other
189151,77_4.12 W,38_54.62 N,06-Apr-10,Other
106036,77_1.23 W,38_55.9 N,06-Apr-10,Other
94745,77_0.43 W,38_56.08 N,06-Apr-10,Other
43915,77_1.48 W,38_56.86 N,06-Apr-10,Other
73821,77_1.07 W,38_56.4 N,06-Apr-10,Other
72637,77_3.27 W,38_56.41 N,06-Apr-10,Other
40765,77_4.34 W,38_56.9 N,06-Apr-10,Other
109178,77_2.87 W,38_55.85 N,06-Apr-10,Other
199404,77_1.32 W,38_54.47 N,06-Apr-10,Other
33965,77_1.44 W,38_57.01 N,06-Apr-10,Other
181128,77_3.79 W,38_54.75 N,06-Apr-10,Other
105092,77_1.19 W,38_55.92 N,06-Apr-10,Other
48136,77_1.9 W,38_56.79 N,06-Apr-10,Other
156693,77_1.8 W,38_55.12 N,06-Apr-10,Other
212149,77_1.82 W,38_54.27 N,06-Apr-10,Other
58032,77_2.44 W,38_56.64 N,06-Apr-10,Other
160211,76_59.93 W,38_55.07 N,06-Apr-10,Other
90225,77_2.81 W,38_56.14 N,06-Apr-10,Other
83149,77_2.49 W,38_56.25 N,06-Apr-10,Other
49354,77_3.81 W,38_56.77 N,06-Apr-10,Other
204038,77_2.31 W,38_54.4 N,06-Apr-10,Other
62594,77_4.11 W,38_56.57 N,06-Apr-10,Other
73064,77_3.71 W,38_56.41 N,06-Apr-10,Other
208560,76_59.92 W,38_54.33 N,06-Apr-10,Other
67850,77_3.71 W,38_56.49 N,06-Apr-10,Other
16198,77_3.58 W,38_57.28 N,06-Apr-10,Other
66881,77_3.86 W,38_57.42 N,06-Apr-10,Other
190873,77_1.31 W,38_54.6 N,06-Apr-10,Other
127342,77_1.45 W,38_55.58 N,06-Apr-10,Other
141231,77_0.11 W,38_55.36 N,06-Apr-10,Other
101758,77_1.34 W,38_55.97 N,06-Apr-10,Other
105171,77_0.45 W,38_55.92 N,06-Apr-10,Other
125234,77_3.43 W,38_55.6 N,06-Apr-10,Other
53184,77_3.45 W,38_56.71 N,06-Apr-10,Other
29514,77_3.17 W,38_57.07 N,06-Apr-10,Other
167366,77_3.94 W,38_54.96 N,06-Apr-10,Other
136463,77_0.38 W,38_55.44 N,06-Apr-10,Other
174087,77_3.14 W,38_54.86 N,06-Apr-10,Other
112489,77_2.94 W,38_55.8 N,06-Apr-10,Other
98227,77_3.33 W,38_56.02 N,06-Apr-10,Other
199905,77_1.07 W,38_54.46 N,06-Apr-10,Other
70117,77_0.25 W,38_56.46 N,06-Apr-10,Other
200233,77_2.43 W,38_54.46 N,06-Apr-10,Other
9428,77_3.48 W,38_54.86 N,10-Apr-10,transect
5210,77_2.53 W,38_55.95 N,11-Apr-10,transect
3960,77_0.43 W,38_56.26 N,13-Apr-10,transect
610,77_0.18 W,38_57.14 N,18-Apr-10,transect
143,77_0.89 W,38_57.4 N,20-Apr-10,transect
2744,77_0.75 W,38_56.61 N,23-Apr-10,transect
2863,77_1.05 W,38_56.57 N,24-Apr-10,transect
2712,77_1.06 W,38_56.62 N,25-Apr-10,transect
10671,77_4.07 W,38_54.46 N,25-Apr-10,transect
54146,77_3.32 W,38_56.7 N,29-Apr-10,other
50975,77_1.95 W,38_56.75 N,29-Apr-10,other
207333,77_2.53 W,38_54.35 N,29-Apr-10,other
7137,77_4.1 W,38_57.42 N,29-Apr-10,other
204399,77_3.37 W,38_54.39 N,29-Apr-10,other
41493,77_1.97 W,38_56.89 N,29-Apr-10,other
30792,77_0.09 W,38_57.06 N,29-Apr-10,other
137247,77_1.91 W,38_55.42 N,29-Apr-10,other
182044,77_4.09 W,38_54.73 N,29-Apr-10,other
134287,77_2.99 W,38_55.47 N,29-Apr-10,other
48903,77_3.59 W,38_56.78 N,29-Apr-10,other
209713,77_2.43 W,38_54.31 N,29-Apr-10,other
46906,77_0.11 W,38_56.81 N,29-Apr-10,other
76679,77_0.94 W,38_56.35 N,29-Apr-10,other
209436,77_0.59 W,38_54.32 N,29-Apr-10,other
146388,77_0.65 W,38_55.28 N,29-Apr-10,other
202550,77_2.93 W,38_54.42 N,29-Apr-10,other
61055,77_0.77 W,38_56.59 N,29-Apr-10,other
28327,77_0.97 W,38_57.1 N,29-Apr-10,other
159863,77_3.18 W,38_55.07 N,29-Apr-10,other
188974,77_1.34 W,38_54.63 N,29-Apr-10,other
108840,77_1.6 W,38_55.86 N,29-Apr-10,other
213754,77_0.11 W,38_54.25 N,29-Apr-10,other
63535,77_4.17 W,38_56.55 N,29-Apr-10,other
36234,77_2.39 W,38_56.97 N,29-Apr-10,other
153647,77_3.69 W,38_55.17 N,29-Apr-10,other
99101,77_4.02 W,38_56 N,29-Apr-10,other
188301,77_3.2 W,38_54.64 N,29-Apr-10,other
53549,77_0.04 W,38_56.71 N,29-Apr-10,other
202967,77_3.46 W,38_54.41 N,29-Apr-10,other
115311,77_2.9 W,38_57.35 N,29-Apr-10,other
57383,77_4.08 W,38_56.65 N,29-Apr-10,other
97780,77_3.08 W,38_56.03 N,29-Apr-10,other
123171,77_0.56 W,38_55.64 N,29-Apr-10,other
54268,77_2.18 W,38_56.7 N,29-Apr-10,other
77050,77_1.9 W,38_56.35 N,29-Apr-10,other
134148,77_4.29 W,38_55.47 N,29-Apr-10,other
82515,77_3.99 W,38_56.26 N,29-Apr-10,other
127473,77_0.23 W,38_55.58 N,29-Apr-10,other
88618,77_0.11 W,38_56.17 N,29-Apr-10,other
127004,77_0.18 W,38_55.58 N,29-Apr-10,other
184152,77_2.11 W,38_54.7 N,29-Apr-10,other
128674,77_2.29 W,38_55.55 N,29-Apr-10,other
175780,77_0.61 W,38_54.83 N,29-Apr-10,other
204089,77_1.83 W,38_54.4 N,29-Apr-10,other
52112,77_0.18 W,38_56.73 N,29-Apr-10,other
8441,77_0.77 W,38_57.4 N,29-Apr-10,other
132442,77_2.52 W,38_55.5 N,29-Apr-10,other
137937,77_4.32 W,38_55.41 N,29-Apr-10,other
86381,77_3.29 W,38_56.2 N,29-Apr-10,other
190848,77_1.55 W,38_54.6 N,29-Apr-10,other
56481,77_3.65 W,38_56.66 N,29-Apr-10,other
12416,77_3.49 W,38_57.34 N,29-Apr-10,other
199908,77_1.04 W,38_54.46 N,29-Apr-10,other
94183,77_1.26 W,38_56.08 N,29-Apr-10,other
40727,77_0.26 W,38_56.91 N,29-Apr-10,other
124671,77_4.27 W,38_55.61 N,29-Apr-10,other
13218,77_0.42 W,38_57.33 N,29-Apr-10,other
17387,77_1.33 W,38_57.26 N,29-Apr-10,other
65312,77_0.85 W,38_56.53 N,29-Apr-10,other
141875,77_2.96 W,38_55.35 N,29-Apr-10,other
53384,77_1.58 W,38_56.71 N,29-Apr-10,other
66041,77_2.9 W,38_56.51 N,29-Apr-10,other
214296,77_3.9 W,38_54.24 N,29-Apr-10,other
92669,77_2.12 W,38_56.11 N,29-Apr-10,other
133209,77_4.21 W,38_55.48 N,29-Apr-10,other
17188,77_3.19 W,38_57.26 N,29-Apr-10,other
82925,77_0.15 W,38_56.26 N,29-Apr-10,other
118583,77_3.57 W,38_55.71 N,29-Apr-10,other
21434,77_3.38 W,38_57.2 N,29-Apr-10,other
16772,77_2.65 W,38_57.27 N,29-Apr-10,other
163052,76_59.96 W,38_55.03 N,29-Apr-10,other
213199,77_0.86 W,38_54.26 N,29-Apr-10,other
168360,77_3.51 W,38_54.94 N,29-Apr-10,other
32360,77_3.15 W,38_57.03 N,29-Apr-10,other
28885,77_0.19 W,38_57.09 N,29-Apr-10,other
118136,77_3.32 W,38_55.71 N,29-Apr-10,other
208484,77_0.63 W,38_54.33 N,29-Apr-10,other
85146,77_1.55 W,38_56.22 N,29-Apr-10,other
83218,77_1.84 W,38_56.25 N,29-Apr-10,other
150091,77_1.48 W,38_55.23 N,29-Apr-10,other
37755,77_1.46 W,38_56.95 N,29-Apr-10,other
29974,77_3.3 W,38_57.07 N,29-Apr-10,other
163096,77_3.98 W,38_55.02 N,29-Apr-10,other
104078,77_1.81 W,38_55.93 N,29-Apr-10,other
102645,77_1.91 W,38_55.95 N,29-Apr-10,other
7074,77_0.62 W,38_55.48 N,29-Apr-10,transect
82279,77_1.76 W,38_56.27 N,29-Apr-10,other
197213,77_4.08 W,38_54.5 N,29-Apr-10,other
92459,77_4.08 W,38_56.11 N,29-Apr-10,other
13866,77_3.23 W,38_57.31 N,29-Apr-10,other
65240,77_1.53 W,38_56.53 N,29-Apr-10,other
7423,77_2.89 W,38_55.39 N,03-May-10,transect
10972,77_0.72 W,38_54.4 N,05-May-10,transect
11172,77_4.13 W,38_54.35 N,11-May-10,transect
4318,77_1.99 W,38_56.16 N,12-May-10,transect
3920,77_1.23 W,38_56.27 N,16-May-10,transect
2490,77_0.77 W,38_56.69 N,19-May-10,transect
9487,77_2.97 W,38_54.85 N,20-May-10,transect
4552,77_2.6 W,38_56.11 N,26-May-10,transect
1996,77_0.62 W,38_56.86 N,27-May-10,transect
8624,77_2.08 W,38_55.04 N,28-May-10,transect
209789,77_1.72 W,38_54.31 N,01-Jun-10,nontransect
130417,77_3.72 W,38_55.52 N,01-Jun-10,nontransect
30385,77_3.89 W,38_57.06 N,01-Jun-10,nontransect
169868,77_2.7 W,38_54.92 N,01-Jun-10,nontransect
135212,77_3.21 W,38_55.45 N,01-Jun-10,nontransect
206229,77_3.99 W,38_54.36 N,01-Jun-10,nontransect
72775,77_1.98 W,38_56.41 N,01-Jun-10,nontransect
71315,77_2.34 W,38_56.43 N,01-Jun-10,nontransect
69632,77_0.35 W,38_56.46 N,01-Jun-10,nontransect
163977,77_0.17 W,38_55.02 N,01-Jun-10,nontransect
111041,77_3.18 W,38_55.82 N,01-Jun-10,nontransect
164467,77_0.02 W,38_55.01 N,01-Jun-10,nontransect
100353,77_1.18 W,38_55.99 N,01-Jun-10,nontransect
37704,77_1.94 W,38_56.95 N,01-Jun-10,nontransect
130565,77_2.34 W,38_55.52 N,01-Jun-10,nontransect
84118,77_2.29 W,38_56.24 N,01-Jun-10,nontransect
122508,77_2.33 W,38_55.65 N,01-Jun-10,nontransect
45223,77_2.55 W,38_56.83 N,01-Jun-10,nontransect
117618,77_3.73 W,38_55.72 N,01-Jun-10,nontransect
204420,77_3.17 W,38_54.39 N,01-Jun-10,nontransect
187282,77_3.86 W,38_54.65 N,01-Jun-10,nontransect
102611,77_2.23 W,38_55.95 N,01-Jun-10,nontransect
135972,77_0.54 W,38_55.44 N,01-Jun-10,nontransect
40453,77_2.83 W,38_56.91 N,01-Jun-10,nontransect
202302,77_0.82 W,38_54.43 N,01-Jun-10,nontransect
121848,77_4.07 W,38_55.66 N,01-Jun-10,nontransect
213304,77_4.31 W,38_54.25 N,01-Jun-10,nontransect
15376,77_2.41 W,38_57.29 N,01-Jun-10,nontransect
108232,77_2.85 W,38_55.87 N,01-Jun-10,nontransect
72712,77_2.57 W,38_56.41 N,01-Jun-10,nontransect
100733,77_2.06 W,38_55.98 N,01-Jun-10,nontransect
66628,77_1.84 W,38_56.51 N,01-Jun-10,nontransect
99843,77_1.52 W,38_56 N,01-Jun-10,nontransect
101927,77_4.19 W,38_55.96 N,01-Jun-10,nontransect
3903,77_3.31 W,38_57.47 N,01-Jun-10,nontransect
144142,77_3.92 W,38_55.31 N,01-Jun-10,nontransect
32442,77_2.39 W,38_57.03 N,01-Jun-10,nontransect
113926,77_2.8 W,38_55.78 N,01-Jun-10,nontransect
14315,77_3.46 W,38_57.31 N,01-Jun-10,nontransect
202180,77_1.96 W,38_54.43 N,01-Jun-10,nontransect
49977,77_2.41 W,38_56.76 N,01-Jun-10,nontransect
50964,77_2.05 W,38_56.75 N,01-Jun-10,nontransect
117530,77_0.12 W,38_55.73 N,01-Jun-10,nontransect
53534,77_0.18 W,38_56.71 N,01-Jun-10,nontransect
107009,77_0.99 W,38_55.89 N,01-Jun-10,nontransect
213214,77_0.72 W,38_54.26 N,01-Jun-10,nontransect
21240,77_0.76 W,38_57.2 N,01-Jun-10,nontransect
196880,77_2.76 W,38_54.51 N,01-Jun-10,nontransect
103967,77_2.84 W,38_55.93 N,01-Jun-10,nontransect
177713,77_0.26 W,38_54.8 N,01-Jun-10,nontransect
149496,77_2.61 W,38_55.23 N,01-Jun-10,nontransect
125269,77_3.11 W,38_55.6 N,01-Jun-10,nontransect
167318,76_59.96 W,38_54.96 N,01-Jun-10,nontransect
189839,77_2.12 W,38_54.62 N,01-Jun-10,nontransect
2152,77_1.96 W,38_57.5 N,01-Jun-10,nontransect
158736,77_0.42 W,38_55.1 N,01-Jun-10,nontransect
177282,77_4.29 W,38_54.8 N,01-Jun-10,nontransect
55833,77_0.84 W,38_56.67 N,01-Jun-10,nontransect
38118,77_2.5 W,38_56.94 N,01-Jun-10,nontransect
74269,77_1.31 W,38_56.39 N,01-Jun-10,nontransect
57501,77_2.98 W,38_56.65 N,01-Jun-10,nontransect
32515,77_1.7 W,38_57.03 N,01-Jun-10,nontransect
46338,77_0.98 W,38_56.82 N,01-Jun-10,nontransect
141134,77_1.02 W,38_55.36 N,01-Jun-10,nontransect
40229,77_0.49 W,38_56.91 N,01-Jun-10,nontransect
147926,77_3.99 W,38_55.26 N,01-Jun-10,nontransect
5142,77_0.59 W,38_57.45 N,01-Jun-10,nontransect
86105,77_1.44 W,38_56.21 N,01-Jun-10,nontransect
66201,77_1.4 W,38_56.51 N,01-Jun-10,nontransect
180632,77_3.99 W,38_54.75 N,01-Jun-10,nontransect
86639,77_0.88 W,38_56.2 N,01-Jun-10,nontransect
25524,77_0.59 W,38_57.14 N,01-Jun-10,nontransect
50718,76_59.92 W,38_56.75 N,01-Jun-10,nontransect
70615,77_0.02 W,38_56.45 N,01-Jun-10,nontransect
215482,77_1.68 W,38_54.22 N,01-Jun-10,nontransect
11759,77_0.77 W,38_57.35 N,01-Jun-10,nontransect
45801,77_1.57 W,38_56.83 N,01-Jun-10,nontransect
133743,77_3.65 W,38_55.47 N,01-Jun-10,nontransect
95052,77_1.99 W,38_56.07 N,01-Jun-10,nontransect
140933,77_2.9 W,38_55.36 N,01-Jun-10,nontransect
28546,77_3.36 W,38_57.09 N,01-Jun-10,nontransect
77253,77_0 W,38_56.35 N,01-Jun-10,nontransect
202576,77_2.69 W,38_54.42 N,01-Jun-10,nontransect
173758,77_1.79 W,38_54.86 N,01-Jun-10,nontransect
118838,77_1.19 W,38_55.71 N,01-Jun-10,nontransect
131325,77_4.1 W,38_55.51 N,01-Jun-10,nontransect
151522,77_1.4 W,38_55.2 N,01-Jun-10,nontransect
115841,77_2.62 W,38_55.75 N,01-Jun-10,nontransect
49939,77_2.77 W,38_56.76 N,01-Jun-10,nontransect
180874,77_1.73 W,38_54.75 N,01-Jun-10,nontransect
212253,77_0.84 W,38_54.27 N,01-Jun-10,nontransect
54028,76_59.99 W,38_56.7 N,01-Jun-10,nontransect
30466,77_3.13 W,38_57.06 N,01-Jun-10,nontransect
166174,77_1.79 W,38_54.98 N,01-Jun-10,nontransect
81688,77_2.85 W,38_56.27 N,01-Jun-10,nontransect
215675,77_4.3 W,38_54.22 N,01-Jun-10,nontransect
129372,77_0.2 W,38_55.55 N,01-Jun-10,nontransect
10861,77_1.43 W,38_54.41 N,02-Jun-10,transect
1805,77_0.86 W,38_56.9 N,06-Jun-10,transect
1715,77_1.58 W,38_56.91 N,08-Jun-10,transect
1428,77_1.11 W,38_56.98 N,09-Jun-10,transect
70702,77_3.64 W,38_56.44 N,13-Jun-10,
53911,77_1.09 W,38_56.7 N,13-Jun-10,
122985,77_2.3 W,38_55.64 N,13-Jun-10,
97098,77_0.59 W,38_56.04 N,13-Jun-10,
36202,77_2.69 W,38_56.97 N,13-Jun-10,
185479,77_2.99 W,38_54.68 N,13-Jun-10,
179534,77_0.97 W,38_54.78 N,13-Jun-10,
113374,77_3.53 W,38_55.79 N,13-Jun-10,
166888,77_3.98 W,38_54.96 N,13-Jun-10,
166162,77_1.9 W,38_54.98 N,13-Jun-10,
91177,77_2.77 W,38_56.13 N,13-Jun-10,
17075,77_4.25 W,38_57.26 N,13-Jun-10,
35793,77_2.08 W,38_56.98 N,13-Jun-10,
195345,77_3.82 W,38_54.53 N,13-Jun-10,
201821,77_0.88 W,38_54.43 N,13-Jun-10,
148335,77_0.17 W,38_55.26 N,13-Jun-10,
43074,77_0.48 W,38_56.87 N,13-Jun-10,
151765,77_3.56 W,38_55.2 N,13-Jun-10,
182692,77_2.46 W,38_54.72 N,13-Jun-10,
47060,77_3.1 W,38_56.81 N,13-Jun-10,
143272,77_3.19 W,38_55.33 N,13-Jun-10,
139160,77_1.75 W,38_55.39 N,13-Jun-10,
75421,77_0.31 W,38_57.42 N,13-Jun-10,
105495,77_1.85 W,38_55.91 N,13-Jun-10,
65325,77_0.73 W,38_56.53 N,13-Jun-10,
167677,77_1.03 W,38_54.96 N,13-Jun-10,
129107,77_2.68 W,38_55.55 N,13-Jun-10,
195239,77_0.38 W,38_54.54 N,13-Jun-10,
14535,77_1.4 W,38_57.31 N,13-Jun-10,
192978,77_3.79 W,38_54.56 N,13-Jun-10,
